,line_name,pp_mean,pp_std,number_of_grna,in_expt,to_rec
118077,PP_0528_PP_0815_PP_1317_PP_4191,414.53337582373433,66.91857909333518,4,0,1
118054,PP_0528_PP_0815_PP_1317_PP_1769,413.4313322985456,67.33211625680043,4,0,1
112467,PP_0528_PP_0751_PP_0815_PP_1317,411.7228637002578,66.66314311386307,4,0,1
115852,PP_0528_PP_0813_PP_0815_PP_1317,409.2936835146567,65.88820382369418,4,0,1
118070,PP_0528_PP_0815_PP_1317_PP_4120,405.00495327472873,63.490336122882866,4,0,1
6456,PP_0528_PP_0815_PP_1317,400.45477193564693,61.503206332245924,3,0,1
6251,PP_0528_PP_0751_PP_4191,390.60742987466733,63.30218347867611,3,0,1
6915,PP_0528_PP_1769_PP_4191,388.83062547960515,62.37856323822242,3,0,1
6395,PP_0528_PP_0813_PP_4191,387.41153254917975,62.131515703386725,3,0,1
3289,PP_0368_PP_0528_PP_4191,385.66900348827164,61.16898505400276,3,0,1
6348,PP_0528_PP_0812_PP_4191,385.51545656180417,61.16344982834187,3,0,1
7323,PP_0528_PP_4120_PP_4191,385.5032188717263,60.33688067097097,3,0,1
6441,PP_0528_PP_0814_PP_4191,385.1975435251211,62.91200382433311,3,0,1
15892,PP_0815_PP_1317_PP_4191,385.0131033064182,56.95421735686927,3,0,1
7011,PP_0528_PP_2136_PP_4191,382.9922009227612,60.55592392972647,3,0,1
6810,PP_0528_PP_1506_PP_4191,382.355664898992,60.63191748125898,3,0,1
10282,PP_0751_PP_0815_PP_1317,380.76746791781176,57.88214386308675,3,0,1
15869,PP_0815_PP_1317_PP_1769,376.80667953070736,57.37617508013058,3,0,1
14702,PP_0814_PP_0815_PP_1317,372.47847923077103,58.88040440488031,3,0,1
13667,PP_0813_PP_0815_PP_1317,372.40437609496246,57.29072839423332,3,0,1
5078,PP_0437_PP_0815_PP_1317,370.0775880473154,55.93376869254565,3,0,1
3647,PP_0368_PP_0815_PP_1317,368.35296544360415,55.95758477969477,3,0,1
15885,PP_0815_PP_1317_PP_4120,368.17151331358247,55.01473057587217,3,0,1
15893,PP_0815_PP_1317_PP_4192,367.2886675003495,55.50105305161323,3,0,1
10267,PP_0751_PP_0814_PP_4191,362.28059433461124,61.849783306696786,3,0,1
10741,PP_0751_PP_1769_PP_4191,360.63436987794154,58.74957748965983,3,0,1
4873,PP_0437_PP_0751_PP_4191,359.70858814452504,57.99971411804162,3,0,1
10174,PP_0751_PP_0812_PP_4191,357.2278057372924,57.48952850352584,3,0,1
10186,PP_0751_PP_0813_PP_0814,343.36761994130575,56.4256589246123,3,0,1
10244,PP_0751_PP_0814_PP_1769,342.3674373252012,57.41933699650119,3,0,1
4838,PP_0437_PP_0751_PP_0814,338.1666528020465,55.416621607435864,3,0,1
10220,PP_0751_PP_0813_PP_4189,337.70744630611216,56.47019751583886,3,0,1
10139,PP_0751_PP_0812_PP_0814,336.13672835286445,55.58108739372956,3,0,1
10247,PP_0751_PP_0814_PP_2136,335.03677157824274,55.449988389977506,3,0,1
3407,PP_0368_PP_0751_PP_0814,335.009406761462,55.41995369267654,3,0,1
382,PP_0751_PP_0814,330.826519795681,54.22444639219513,2,0,1
526,PP_0813_PP_0814,323.92479621947945,53.69682307974521,2,0,1
606,PP_0814_PP_4189,316.9344621529723,53.35782773117124,2,0,1
122,PP_0368_PP_0814,316.57130221943265,53.35992632400209,2,0,1
479,PP_0812_PP_0814,314.9004596455221,53.256339838142694,2,0,1
587,PP_0814_PP_2136,313.8293175596917,53.23600793864871,2,0,1
1080,PP_1769_PP_4189,311.83869745634667,53.68221040328074,2,0,1
513,PP_0812_PP_4189,305.47840981667537,53.2207848769883,2,0,1
210,PP_0437_PP_4189,303.36534889957005,53.139096615451024,2,0,1
156,PP_0368_PP_4189,303.2547609745918,53.25072950113788,2,0,1
1176,PP_2136_PP_4189,302.88007274694525,53.163402798840934,2,0,1
1488,PP_4120_PP_4189,301.11543530206364,53.07483794310052,2,0,1
1577,PP_4189_PP_4192,300.53705542397927,53.107238995379035,2,0,1
975,PP_1506_PP_4189,300.185921909523,53.09628226226214,2,0,1
1563,PP_4188_PP_4189,299.0681700400354,53.07924435475634,2,0,1
1011,PP_1607_PP_4189,295.6945666079713,53.127456691970856,2,0,1
1587,PP_4189_PP_5288,294.2639117831868,53.13381414351047,2,0,1
1579,PP_4189_PP_4549,293.8864866552276,53.1243291218036,2,0,1
1235,PP_2213_PP_4189,293.4073686440589,53.14239286874082,2,0,1
538,PP_0813_PP_1769,286.0372236881143,53.43823096160693,2,0,1
175,PP_0437_PP_0813,282.44009924009066,53.23194233595683,2,0,1
478,PP_0812_PP_0813,282.0893246640298,53.23766681606421,2,0,1
121,PP_0368_PP_0813,282.0025371210122,53.2231015379946,2,0,1
541,PP_0813_PP_2136,281.2145558817966,53.161927317301085,2,0,1
562,PP_0813_PP_4192,279.3829113840632,53.11502463482324,2,0,1
