Line Name,Cycle,Plate,Titer
Control,DBTL-0,Plate 1,177.337
Control,DBTL-0,Plate 1,181.8837333
Control,DBTL-0,Plate 1,169.4058
Control,DBTL-0,Plate 2,161.6762
Control,DBTL-0,Plate 2,136.4298667
Control,DBTL-0,Plate 2,162.3184667
Control,DBTL-0,Plate 3,162.1252667
Control,DBTL-0,Plate 3,165.5256
Control,DBTL-0,Plate 3,165.5533333
Control,DBTL-0,Plate 4,176.1350667
Control,DBTL-0,Plate 4,192.6371333
Control,DBTL-0,Plate 4,202.7048
Control,DBTL-0,Plate 5,123.8465333
Control,DBTL-0,Plate 5,177.1856
Control,DBTL-0,Plate 5,168.0272
Control,DBTL-0,Plate 6,150.8906667
Control,DBTL-0,Plate 6,197.7911333
Control,DBTL-0,Plate 6,184.3109333
Control,DBTL-1,Plate 1,160.2911
Control,DBTL-1,Plate 1,154.8259
Control,DBTL-1,Plate 1,164.3307
Control,DBTL-1,Plate 2,145.0277
Control,DBTL-1,Plate 2,146.4459
Control,DBTL-1,Plate 2,144.5349
Control,DBTL-1,Plate 3,147.8823
Control,DBTL-1,Plate 3,153.8518
Control,DBTL-1,Plate 3,149.907
Control,DBTL-1,Plate 4,147.4231
Control,DBTL-1,Plate 4,179.5075
Control,DBTL-1,Plate 4,158.8005
Control,DBTL-2,Plate 1,172.4157
Control,DBTL-2,Plate 1,168.4865
Control,DBTL-2,Plate 1,127.4238
Control,DBTL-2,Plate 2,145.4981
Control,DBTL-2,Plate 2,143.265
Control,DBTL-2,Plate 2,138.3098
Control,DBTL-2,Plate 3,176.9144
Control,DBTL-2,Plate 3,169.6163
Control,DBTL-2,Plate 3,163.3377
Control,DBTL-2,Plate 4,153.005
Control,DBTL-2,Plate 4,169.8316
Control,DBTL-2,Plate 4,152.6962
Control,DBTL-3,Plate 1,164.5141
Control,DBTL-3,Plate 1,164.3461
Control,DBTL-3,Plate 1,182.1113
Control,DBTL-3,Plate 2,166.3666
Control,DBTL-3,Plate 2,173.3588
Control,DBTL-3,Plate 2,185.2032
Control,DBTL-3,Plate 3,182.0178
Control,DBTL-3,Plate 3,187.5493
Control,DBTL-3,Plate 3,186.3067
Control,DBTL-3,Plate 4,144.896
Control,DBTL-3,Plate 4,141.962
Control,DBTL-3,Plate 4,147.3451
Control,DBTL-4,Plate 1,150.5033
Control,DBTL-4,Plate 1,162.2923
Control,DBTL-4,Plate 1,158.0239
Control,DBTL-4,Plate 2,155.3979
Control,DBTL-4,Plate 2,156.6703
Control,DBTL-4,Plate 2,141.6745
Control,DBTL-4,Plate 3,150.2075
Control,DBTL-4,Plate 3,147.9302
Control,DBTL-4,Plate 3,163.1382
Control,DBTL-4,Plate 4,141.173
Control,DBTL-4,Plate 4,152.178
Control,DBTL-4,Plate 4,155.0741
Control,DBTL-5,Plate 1,153.6597
Control,DBTL-5,Plate 1,152.3662
Control,DBTL-5,Plate 1,157.6793
Control,DBTL-5,Plate 2,164.7045
Control,DBTL-5,Plate 2,174.2098
Control,DBTL-5,Plate 2,158.9721
Control,DBTL-5,Plate 3,179.2152
Control,DBTL-5,Plate 3,158.8876
Control,DBTL-5,Plate 3,153.6483
Control,DBTL-5,Plate 4,169.5059
Control,DBTL-5,Plate 4,173.2518
Control,DBTL-5,Plate 4,160.1393
Control,DBTL-6,Plate 1,157.9641
Control,DBTL-6,Plate 1,151.6721
Control,DBTL-6,Plate 1,165.8016
Control,DBTL-6,Plate 2,156.8139
Control,DBTL-6,Plate 2,160.7165
Control,DBTL-6,Plate 2,167.7428
Control,DBTL-6,Plate 3,152.3844
Control,DBTL-6,Plate 3,157.7208
Control,DBTL-6,Plate 3,132.5339
Control,DBTL-6,Plate 4,154.8127
Control,DBTL-6,Plate 4,152.7466
Control,DBTL-6,Plate 4,151.4252
