Line Name,Rep,Isoprenol
PP_0368_PP_0751_PP_0812_PP_0815,R1,672.8971
PP_0368_PP_0751_PP_0812_PP_0815,R2,657.2571
PP_0368_PP_0751_PP_0812_PP_0815,R3,622.206
PP_0368_PP_0751_PP_0812,R1,576.6218
PP_0368_PP_0751_PP_0812,R2,560.4283
PP_0368_PP_0751_PP_0812,R3,561.7775
PP_0368_PP_0751_PP_0813_PP_0815,R1,703.8658
PP_0368_PP_0751_PP_0813_PP_0815,R2,691.0291
PP_0368_PP_0751_PP_0813_PP_0815,R3,647.5868
PP_0368_PP_0751_PP_0814_PP_0815,R1,584.5668
PP_0368_PP_0751_PP_0814_PP_0815,R2,656.3714
PP_0368_PP_0751_PP_0814_PP_0815,R3,704.5033
PP_0368_PP_0751_PP_0815,R1,722.3746
PP_0368_PP_0751_PP_0815,R2,673.4893
PP_0368_PP_0751_PP_0815,R3,648.4851
PP_0368_PP_0812_PP_0813_PP_0815,R1,628.5783
PP_0368_PP_0812_PP_0813_PP_0815,R2,577.7701
PP_0368_PP_0812_PP_0813_PP_0815,R3,560.0963
PP_0368_PP_0812_PP_0815_PP_2136,R1,569.5938
PP_0368_PP_0812_PP_0815_PP_2136,R2,594.634
PP_0368_PP_0812_PP_0815_PP_2136,R3,546.4259
PP_0368_PP_0813_PP_0814_PP_0815,R1,627.1498
PP_0368_PP_0813_PP_0814_PP_0815,R2,639.6017
PP_0368_PP_0813_PP_0814_PP_0815,R3,605.2812
PP_0368_PP_0813_PP_0815,R1,535.2842
PP_0368_PP_0813_PP_0815,R2,550.8589
PP_0368_PP_0813_PP_0815,R3,544.7199
PP_0368_PP_0814_PP_0815,R1,659.0132
PP_0368_PP_0814_PP_0815,R2,676.6958
PP_0368_PP_0814_PP_0815,R3,680.3604
PP_0368_PP_0815,R1,599.5551
PP_0368_PP_0815,R2,596.7597
PP_0368_PP_0815,R3,578.1195
PP_0437_PP_0815_PP_1317,R1,574.7462
PP_0437_PP_0815_PP_1317,R2,575.3111
PP_0437_PP_0815_PP_1317,R3,618.2326
PP_0528_PP_0751_PP_0812_PP_0815,R1,762.3653
PP_0528_PP_0751_PP_0812_PP_0815,R2,706.0525
PP_0528_PP_0751_PP_0812_PP_0815,R3,748.9053
PP_0528_PP_0751_PP_0813_PP_0815,R1,724.6307
PP_0528_PP_0751_PP_0813_PP_0815,R2,719.4565
PP_0528_PP_0751_PP_0813_PP_0815,R3,714.812
PP_0528_PP_0751_PP_0815,R1,736.2201
PP_0528_PP_0751_PP_0815,R2,748.225
PP_0528_PP_0751_PP_0815,R3,746.4432
PP_0528_PP_0812_PP_0815,R1,613.9505
PP_0528_PP_0812_PP_0815,R2,645.0948
PP_0528_PP_0812_PP_0815,R3,637.3932
PP_0528_PP_0813_PP_0815,R1,613.9456
PP_0528_PP_0813_PP_0815,R2,661.7207
PP_0528_PP_0813_PP_0815,R3,652.3416
PP_0528_PP_0815,R1,573.7308
PP_0528_PP_0815,R2,570.1604
PP_0528_PP_0815,R3,594.7115
PP_0751_PP_0813_PP_0815,R1,818.6499
PP_0751_PP_0813_PP_0815,R2,773.4597
PP_0751_PP_0813_PP_0815,R3,721.3627
PP_0751_PP_0814_PP_4189,R1,503.2046
PP_0751_PP_0814_PP_4189,R2,518.1036
PP_0751_PP_0815_PP_4189,R3,502.7903
PP_0751_PP_0815,R1,614.5642
PP_0751_PP_0815,R2,658.5824
PP_0751_PP_0815,R3,630.8271
PP_0812_PP_0813_PP_0815_PP_1506,R1,611.1875
PP_0812_PP_0813_PP_0815_PP_1506,R2,584.029
PP_0812_PP_0813_PP_0815_PP_1506,R3,606.8789
PP_0812_PP_0813_PP_0815,R1,660.8518
PP_0812_PP_0813_PP_0815,R2,631.0712
PP_0812_PP_0813_PP_0815,R3,641.6425
PP_0812_PP_0814_PP_0815,R1,549.637
PP_0812_PP_0814_PP_0815,R2,527.7779
PP_0812_PP_0814_PP_0815,R3,549.6663
PP_0812_PP_0815_PP_1506,R1,552.4389
PP_0812_PP_0815_PP_1506,R2,538.1355
PP_0812_PP_0815_PP_1506,R3,557.0017
PP_0813_PP_0814_PP_0815,R1,600.8576
PP_0813_PP_0814_PP_0815,R2,619.0211
PP_0813_PP_0814_PP_0815,R3,614.2366
PP_0813_PP_0815,R1,562.1718
PP_0813_PP_0815,R2,542.7107
PP_0813_PP_0815,R3,520.5602
PP_0814_PP_0815,R1,648.9361
PP_0814_PP_0815,R2,590.8884
PP_0814_PP_0815,R3,625.5433
PP_0815_PP_1317_PP_1506,R1,557.6157
PP_0815_PP_1317_PP_1506,R2,540.442
PP_0815_PP_1317_PP_1506,R3,537.9617
PP_0815_PP_2136,R1,603.5013
PP_0815_PP_2136,R2,571.5046
PP_0815_PP_2136,R3,558.6375
PP_0815_PP_4189,R1,529.1714
PP_0815_PP_4189,R2,542.9282
PP_0815_PP_4189,R3,552.4192
Control,R1,157.9641
Control,R2,157.7208
Control,R3,156.8139
PP_0368_PP_0812_PP_0815,R1,713.6108
PP_0368_PP_0812_PP_0815,R2,664.3135
PP_0368_PP_0812_PP_0815,R3,661.5642
