Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
ilvA-II,0.2543104760165184,,-0.20949483004688743,
ilvC,-0.1592969696985844,-1.3003237031674302,-1.1890179338332472,-0.5538169940860531
ilvE,0.22074119966815917,,0.2741410013191996,
ilvH,-1.120434516460381,-0.965199064065359,-1.636067836629959,-0.3400265146488902
ilvI,-0.21215470700154435,,-1.2456392719335856,-0.2291616033572184
leuB,0.07482095212278922,,-0.11041657686864816,
leuC,0.14955530892426977,,-0.2093173876982566,
leuA,,-0.6125131352367522,-0.43559088372385896,-0.1858918981160488
leuD,,0.0924396604119018,-0.2113776738239094,
ilvD,,,-0.6376744778799079,
